Series 1,0.0045606647618115,0.0075670000000000,1.430088022,-0.09992012825,0.495794854,0.6047051180,0.7489368884,0.4957948540,0.4758665431,0.4556014217,-0.2738369525,40.01528819,0.02027937909,0.1152572186,0.8317625165,0.0099996667,0.8580467958
Series 2,0.0041439649648964,0.0158850000000000,1.025586014,-0.1496409159,0.6481807615,0.3362868418,0.7871647975,0.6481807615,-0.14460596,0.6168066054,-0.9852479099,42.35507724,0.04045936759,0.797958764,0.976934141,0.10955847,0.582175087
Series 3,0.0071870088577271,0.0072770000000000,1.004486127,1.326952694,0.5950898151,0.1533812593,0.8272930478,0.5950898151,-0.310822945,0.5796974329,0.3762183769,19.68019814,0.05009624557,0.738772,0.9682358,0.1095585,0.5732534
Series 4,0.0054142386652529,0.0120130000000000,1.017715802,-0.7182245877,0.7244002125,0.3037338062,0.8508318095,0.7244002125,-0.465069958,0.3747413506,-0.5095877491,43.37430615,0.03500165327,0.007668792,0.988882245,0.10955847,0.571913104
Series 5,0.0039134002290666,0.0048850000000000,1.542206366,-0.1524190417,0.9056244591,0.8198280199,0.5789970998,0.9056244591,-0.00182180316,-0.1416025946,-0.1307843522,44.93553136,0.02634538807,0.007931477,0.995470262,0.019997334,0.772793605
Series 6,0.0064922519959509,0.0083170000000000,1.054133637,0.2264897926,0.2978295813,0.3139118606,0.3660722803,0.2978295813,0.2471304828,0.1167842461,0.0200758704,35.75418685,0.02334012085,0.019168007,0.749361424,0.10955847,0.54628004
Series 7,0.0122571755200624,0.0114560000000000,1.186340932,0.2854922759,0.7147034918,0.4140482871,0.5210543284,0.7147034918,-0.197778021,0.2127993729,-0.2479719782,35.52763815,0.02979823106,0.0085346042,0.9894329517,0.2729050806,0.5313914913
Series 8,0.0112578431144356,0.0103320000000000,1.04441336,1.682522087,0.2277539691,0.3158500933,-0.0394192883,0.2277539691,0.2784204103,-0.1031638884,5.103097178,16.17452226,0.01302598935,0.26246018,0.73231041,0.01999733,0.79607856
Series 9,0.0021358530502766,0.0019800000000000,2.040104058,1.394889454,0.9254681573,0.8635918018,0.3992803935,0.9254681573,0.04947778105,0.002245385092,1.478851552,19.94270742,0.03191490674,0.06567031,0.99774435,0,0.9669969
Series 10,0.0014859486836940,0.0014230000000000,1.017346007,4.462777637,0.2685685747,0.1545148650,0.1724719705,0.2685685747,0.08879013652,0.05640146909,30.41702539,8.565773118,0.007399347386,0.4999816,0.6980351,0,0.967765
Series 11,0.0108697218820452,0.0250590000000000,1.036968736,0.8915838783,0.3249993852,0.0964296111,0.5179404480,0.3249993852,-0.01028090581,0.3487397861,0.3400409353,22.60300025,0.02783492624,0.083062752,0.716154234,0.10955847,0.571950477
Series 12,0.0004008016549051,0.0000008400000000,1.001900495,0.004199753257,0.5456759569,-0.4103347381,0.8404246702,0.5456759569,-1.008343667,0.8402562267,-1.516138508,47.51361374,0.08029427032,0.0006408463,0.9244001264,0.049958375,0.5253512196
